model,node_count,agent_count,tokens_per_second,simulated_duration_ms,completed_token_count,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,remote_expert_route_fraction,mean_compute_busy_fraction,mean_memory_bandwidth_busy_fraction,maximum_network_link_busy_fraction
DeepSeek V4.1 Flash,2,7,201.3015452912362,650.0,128,34.78544119878298,42.09465227635658,1.045325779036827,0.47619047619047616,0.9882695339707577,0.9882695339707577,0.02907994803029636
DeepSeek V4.1 Flash,2,8,210.10698218386565,650.0,135,37.468181776638524,43.62913733757401,1.0518417462482947,0.48258706467661694,0.9979113103855131,0.9979113103855131,0.03233702773698704
DeepSeek V4.1 Flash,2,10,232.29367058173958,600.0,139,42.80697453599903,53.82998918110168,1.083565459610028,0.48846153846153845,0.9994888122399644,0.9994888122399644,0.03583286722055325
DeepSeek V4.1 Flash,2,15,243.04444418236014,650.0,150,61.57874392247485,78.51120489653024,1.1178045515394912,0.49776286353467564,0.9871300740336859,0.9871300740336859,0.03787286657226962
DeepSeek V4.1 Flash,2,22,263.9330045209948,850.0,220,81.91264786596741,98.21904130332136,1.19740777666999,0.511164274322169,0.9990782625353359,0.9990782625353359,0.04426904338503009
DeepSeek V4.1 Flash,2,32,285.0861422144103,1200.0,341,110.1537670624694,125.65687702731306,1.3131597466572835,0.508994708994709,1.0,1.0,0.04532826633738035
DeepSeek V4.1 Flash,2,46,311.7279366570195,1500.0,466,143.62406053646325,181.8358793876112,1.4923529411764707,0.4880677444187837,0.9999072901197992,0.9999072901197992,0.048161116458781156
DeepSeek V4.1 Flash,2,68,341.0142415489467,2050.0,700,191.22207254289916,242.0337370697814,1.7993542435424354,0.4930348258706468,1.0,1.0,0.05438525629271908
DeepSeek V4.1 Flash,2,100,376.24038532353757,2650.0,1001,249.36119968425052,311.14198200056353,2.2933867735470943,0.49897119341563784,0.9998956392860521,0.9998956392860521,0.05968502218546614
DeepSeek V4.1 Flash,2,125,432.81711962914284,2900.0,1250,288.9885412932723,351.7342585615199,2.7206771463119708,0.5127407407407407,1.0,1.0,0.06606550091930143
DeepSeek V4.1 Flash,3,1,70.94316396761742,1850.0,131,14.095790828506859,15.11649481224048,1,0.6666666666666666,0.27980938820381834,0.27980938820381834,0.010316529705375334
DeepSeek V4.1 Flash,3,2,137.30750816158266,950.0,130,14.55263888797968,16.36486361301893,1.003921568627451,0.6575520833333334,0.5411027511981106,0.5411027511981106,0.014259365346849535
DeepSeek V4.1 Flash,3,3,191.442278230467,700.0,132,15.67466303462454,18.34147294245982,1.0102827763496145,0.6742424242424242,0.7538192277551506,0.7538192277551506,0.014298082176801098
