scenario,system_prefix_duplicate_fraction,family_context_duplicate_fraction,effective_context_tokens_per_agent,model,node_count,agent_count,tokens_per_second,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,maximum_network_link_busy_fraction
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,5,318.9986624896788,15.669562267780291,17.450159355085628,1.0108853410740204,0.006582166562921912
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,6,368.5996661282434,16.2137787249486,20.616768185051054,1.0120824449182657,0.007099081394849576
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,7,422.66989275253695,16.35822377878265,18.61383002440168,1.018881626724764,0.007709388417783599
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,8,418.4483802923063,18.82758521683268,22.060268693717777,1.0256222547584188,0.008906064233989671
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,10,470.61629608907606,21.212779749045136,23.83990925118783,1.0499194847020934,0.010666536027114188
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,15,630.7738551077239,23.49690080467914,27.234939247213692,1.1223076923076922,0.01168285867921412
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,22,753.0058655433337,27.81592815509868,32.48987954119641,1.1794310722100656,0.01283492131408267
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,32,981.9808428170198,31.675098634262895,37.045120172333775,1.3125,0.01751125565204202
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,46,1228.6483105447583,36.5165655383794,43.627933437300086,1.4431385006353241,0.01920222204537909
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,68,1600.0329301841025,41.10196488065496,46.89775826934299,1.8939563514269726,0.027357390299877462
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,100,2033.1216587417666,46.30461320905905,53.024215432755945,2.5170907221793883,0.03260940969743841
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,147,2714.4188299127977,53.7144566161516,60.31578003714579,3.356164383561644,0.04014366085972306
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,215,3386.230083593428,63.242774174309496,70.89636110328472,4.648090319481144,0.05361293239877755
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,316,4142.860706835474,76.12337158389717,84.62522083237923,6.543948458352508,0.06068145415140897
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,464,4915.159726595912,94.21772668345513,102.4091916326443,9.35064935064935,0.07639685034645688
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,681,5647.307188623611,120.43674257019167,128.01965603025997,13.321017170180395,0.08706666625248867
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,1000,6311.547443196688,158.26984563251946,165.58265994293834,19.313304721030043,0.09802812433672352
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,1468,6796.152491882929,216.07719244870373,223.00139635027122,25.85518590998043,0.10381503770397552
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,2154,7114.525950790855,302.9525799970217,311.1100045860853,39.474648747709224,0.10891662305247306
